Unnamed: 0,created_at,text,user_name,user_location,retweet_count,favorite_count
1767,13/03/2020 15:46,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Mickey Milton,nan,143,0
1768,13/03/2020 15:45,RT NoLore I m gonna keep saying it the university cannot simply mandate online education Professors have the right to decide how to end ,Concerned Citizen1,nan,51,0
1769,13/03/2020 15:45,RT KingstonUni Great news to take into the weekend KingstonUniversity is nominated in two categories at the Guardian University Awards ,Kingston and St George s,Kingston Hill SGUL,7,0
1770,13/03/2020 15:44,Join the The University of Tennessee team See our latest Education job openings including Clinic Manager UHS ,TMJ MEM Educ Jobs,Memphis TN,0,0
1771,13/03/2020 15:44,Great news to take into the weekend KingstonUniversity is nominated in two categories at the Guardian University ,Kingston University,Kingston upon Thames London,7,26
1772,13/03/2020 15:43,ELIA member and this year s hosts of our biennial conference Zurich University of the Arts offers an international ,ELIA,Amsterdam NL,1,0
1773,13/03/2020 15:42,RT ucu The university strikes are something we all need to pay attention to it s a fight about how all of us want to live Shadow educ ,Paula Smithard ,London,39,0
1774,13/03/2020 15:42,RT CaptainDick12 Canadian scientists make COVID 19 research breakthrough isolating virus Only in Canada These ,Dr JVNK,British Columbia Canada,28,0
1775,13/03/2020 15:42,RT ceditor University of Nebraska President Ted Carter We are open dorms food service We are moving to remote education ,Matt Coatney,Lincoln Nebraska,3,0
1776,13/03/2020 15:42,From Monday 23 March there will be no face to face lectures seminars or tutorials ,Nottingham Times,Nottingham England,2,2
1777,13/03/2020 15:41,See our latest Providence RI Education job opportunity and click the link in our bio to apply Grants and Contra ,TMJ RIP Educ Jobs,Providence RI,0,0
1778,13/03/2020 15:41,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,sue caro ,nan,143,0
1779,13/03/2020 15:41,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Paul Trembath WeAreAllDanielBlake GTTO ,nan,143,0
1780,13/03/2020 15:41,RT NCTECCCCLatinos During WomensHistoryMonth we will be highlighting members of the Latinx Caucus Today we celebrate Dr Sanjuana Rodri ,Laura Gonzales,Gainesville FL,3,0
1781,13/03/2020 15:40,RT VvekTyagi N Hiranandani That means unemployment is going to increase further as Govt is doing nothing to provide quality education to ,Ashish,nan,7,0
1782,13/03/2020 15:40,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Tom Gauterin,Gloucestershire,143,0
1783,13/03/2020 15:40,RT RickyKu85330564 It means the education loan only for rich people childrens not for middle claas families and U K university accept to ,Ricky Kumar,nan,1,0
1784,13/03/2020 15:39,RT ceditor University of Nebraska President Ted Carter We are open dorms food service We are moving to remote education ,Omaha World Herald,Omaha Nebraska,3,0
1785,13/03/2020 15:39,University of Nebraska President Ted Carter We are open dorms food service We are moving to remote education ,Connie White,Omaha NE,3,7
1786,13/03/2020 15:38,I love how he has no fucking personal responsibility if you didn t want a huge amount of student debt you shouldnt ,666 shades of bitch,nan,0,2
1787,13/03/2020 15:38,RT CBCAlerts Quebec Premier Francois Legault is asking all people returning from travel abroad to self isolate for 14 days This is manda ,Mitusha,nan,118,0
1788,13/03/2020 15:38,RT KellyMeyerhofer What would be a normal scene during May s end of semester move out is taking place 2 months early and with a level of ,Anthony TCB ,Chicago IL,2,0
1789,13/03/2020 15:38,RT NoLore I m gonna keep saying it the university cannot simply mandate online education Professors have the right to decide how to end ,Pauline Shanks Kaurin,in your mind,51,0
1790,13/03/2020 15:38,RT KellyMeyerhofer What would be a normal scene during May s end of semester move out is taking place 2 months early and with a level of ,Emily Hamer,Madison WI,2,0
1791,13/03/2020 15:38,Coronavirus UEA students go into self isolation ,Colin Brown,Norfolk England,0,0
1792,13/03/2020 15:37, DYK Your child could be eligible for up to 2 000 for post secondary education through the Canada Learning Bond I ,NS Cmty Services,Nova Scotia,2,1
1793,13/03/2020 15:37,RT NoLore I m gonna keep saying it the university cannot simply mandate online education Professors have the right to decide how to end ,Jasmine Chorley,Hamilton Toronto,51,0
1794,13/03/2020 15:37,RT JamaicaGleaner JUST IN Minister with responsibility for Education Karl Samuda has announced that classes at the University of the Wes ,TcMaids876,Jamaica,237,0
1795,13/03/2020 15:36,RT SwanseaUni We re thrilled to have reached the final in the Student Experience category in this year s Guardian University Awards R ,Martyn Edwards,Cardiff Wales,9,0
1796,13/03/2020 15:36,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,George Hayes,Salisbury England,143,0
1797,13/03/2020 15:36,UNIVERSITY STAFF WANT TO BE INVOLVED IN MASSEY RESTRUCTURE DECISIONS consultation was not in line with being a Tr ,Kiwi Frontline,New Zealand,0,0
1798,13/03/2020 15:35,UKZN Ranked Top University in SA For Published Research Output via Inside Education Inspiring Minds,Inside Education,South Africa,0,0
1799,13/03/2020 15:35,RT DerbyUniVC Delighted for DerbyUni to be shortlisted in the Social and Community Impact category of The Guardian University Awards 202 ,Dr Ovidiu Bagdasar,Derby England,9,0
1800,13/03/2020 15:35,University of Florida education everyone ,Tyler F,nan,0,0
1801,13/03/2020 15:34,RT HistoricaCanada Our new education guide Residential Schools in Canada aims to raise awareness of the history of residential schools ,Lori Jo Coleman,Northern Ontario Canada,77,0
1802,13/03/2020 15:33,RT cpeck3 An excellent analysis of the tactics used by provincial governments in Canada to destabilize public education SOSAlberta tha ,Mr Steven Wornell,YQL,87,0
1803,13/03/2020 15:33,RT DerbyUniVC Delighted for DerbyUni to be shortlisted in the Social and Community Impact category of The Guardian University Awards 202 ,Dr Tina wash your hands 20 secs no wafting Bass,Derby via Coventry Nuneaton,9,0
