,created_at,text,user_name,user_location,retweet_count,favorite_count
358,13/03/2020 22:21,RT @_zairej: Shit went from Howard University to Education Connection,isis?,"Washington, DC",13,0
359,13/03/2020 22:21,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Dr Helen Foxhall Forbes ???,Durham,32,0
360,13/03/2020 22:21,RT @nseducation: The Province is directing public sector employees who travel outside Canada to stay home and self-isolate for 14 days afte…,Liverpool Regional HS,"Liverpool, Nova Scotia",16,0
361,13/03/2020 22:21,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Fraser Mann,York,32,0
362,13/03/2020 22:21,"RT @jacob_rukweza: THIS YOUNG MAN NEEDS HELP.

John Nyama is a brilliant young Zimbabwean from Goromonzi who has passed his A Level studies…",Kdee5,,69,0
363,13/03/2020 22:20,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Kathryn,Leeds,32,0
364,13/03/2020 22:20,RT @angiladasauce: You ever suffer through 4 years at university just to graduate online like some education connection shit?,Pao,,12,0
365,13/03/2020 22:19,"@_carbontiptoes Cancelled school is common here, becoming moreso. Meanwhile this:
https://t.co/QjtsXOElUp
Best to c… https://t.co/0UdGL9DE7c",#WashyourHands!!! Cuddle our world! StoptheFling!,Norwegian-American in Oregon,0,2
366,13/03/2020 22:19,"ALERT TO LMS PATIENT &amp; CAREGIVER COMMUNITY

THE UNIVERSITY OF COLORADO HEALTH SCIENCES and the NLMSF have postponed… https://t.co/Y1GSYu7AhD",Nat'l LMS Foundation,,0,0
367,13/03/2020 22:19,@gingras_yoland @Flyingright1 @drmistercody @benshapiro Considering she thought socialism=single payer healthcare a… https://t.co/rL5C2vkOh4,(((NickNameless))),USA,0,0
368,13/03/2020 22:19,RT @SoniaFeigenbaum: COVID-19 update for #UTAustin: all university-sponsored travelers have been recalled; all education abroad programs ar…,Texas Law LL.M.,"Austin, TX",4,0
369,13/03/2020 22:19,I support OU’s decision to make classes online for two weeks after spring break...but I hope that the university im… https://t.co/xDgPYF3Xyw,Nick Hodge,,0,0
370,13/03/2020 22:19,You ever suffer through 4 years at university just to graduate online like some education connection shit?,Anxhela,UCLA'20,12,32
371,13/03/2020 22:18,RT @arbiteronline: The Idaho State Board of Education is currently holding a special meeting to discuss post-secondary education and corona…,Boise State Library,"Boise, ID",5,0
372,13/03/2020 22:18,@carlyziter @Concordia Am so interested to come and  study in Canada. Please you can help me fine school. Canada is… https://t.co/MddHuhhHx9,sudaiswalker,,0,0
373,13/03/2020 22:18,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",bwjmcneil on strike (yet again),,32,0
374,13/03/2020 22:18,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Kate Dagleish,"Hull, England",32,0
375,13/03/2020 22:18,"RT @KateEOates: Very proud to be part of the team delivering teaching to our students #MRI #ManchesterPharmacy 10th in world, 3rd in UK for…",Harsha Parmar,"Manchester, England",3,0
376,13/03/2020 22:18,"RT @esai_irl: Our provisional dates for rescheduled ESAI Conference 2020 are 3rd-5th September 2020 at the Institute of Education, Dublin C…",gill sullivan,,15,0
377,13/03/2020 22:18,RT @FarrarFoundati1: The Quy Vuot Kho Foundation in Viet Nam - Supporting students from across the country - A way into University Educatio…,Jeremy Farrar,London,1,0
378,13/03/2020 22:16,RT @ADIIIZ1: Imagine a MAN paying his Girlfriend's university tuition FEES  or college FEES  with hope of MARRYING her after HER education.…,Tartarus,Kuching,44,0
379,13/03/2020 22:16,The Quy Vuot Kho Foundation in Viet Nam - Supporting students from across the country - A way into University Educa… https://t.co/EzHD7l6drd,Farrar Foundation,,1,2
380,13/03/2020 22:16,RT @EdUniStudents: Our new Vice President Education is Fizzy Abou Jawad! They’ll be working to improve academic experience for all students…,Jenezmyyy ?,Edinburgh,1,0
381,13/03/2020 22:16,"RT @KateEOates: Very proud to be part of the team delivering teaching to our students #MRI #ManchesterPharmacy 10th in world, 3rd in UK for…",Ihab Ali,"Manchester, England",3,0
382,13/03/2020 22:16,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Ria Cheyne,,32,0
383,13/03/2020 22:15,St. George’s University Follows Guidance for Institutions of Higher Education to Stem the Spread of COVID-19… https://t.co/hnKFCV9c1x,CoachS.,Pennsylvania,0,0
384,13/03/2020 22:15,RT @Independent: Minister urges UK universities to stay open as classes shut down and exams cancelled over coronavirus https://t.co/mNB2NDL…,"Jaz sa Isabela, Veilor sa Vizcaya","Cabagan, Isabela",15,0
385,13/03/2020 22:15,RT @arbiteronline: The Idaho State Board of Education is currently holding a special meeting to discuss post-secondary education and corona…,Taylor Rico-Pekerol,,5,0
386,13/03/2020 22:14,@betterthanjoey how would they be wasted. we would do remote until march 30th and then we would be told of remote w… https://t.co/tpPnrUmxNw,nat ?,"Athens, OH | Dayton, OH",0,2
387,13/03/2020 22:14,RT @HistoricaCanada: Our new education guide “Residential Schools in Canada” aims to raise awareness of the history of residential schools…,Zoe,,77,0
388,13/03/2020 22:14,RT @HistoricaCanada: Our new education guide “Residential Schools in Canada” aims to raise awareness of the history of residential schools…,Riverdale CWS,308W,77,0
389,13/03/2020 22:14,@brooklebee Am so interested to come and  study in Canada. Please you can help me fine school. Canada is my dream c… https://t.co/m1XlltyOFz,sudaiswalker,,0,0
390,13/03/2020 22:14,"See our latest Edmond, OK Education job opportunity and click the link in our bio to apply: Forensic Science, Full-… https://t.co/x7xJpRyZWg",OK Education,Oklahoma,0,0
391,13/03/2020 22:13,"Liberty University President Jerry Falwell Jr. says in-person classes to cont...
https://t.co/KFzI2l0abN
+1 DeweyBot #Education",Education PLOW,Internet,0,0
392,13/03/2020 22:13,"RT @USSbriefs: BBC News - Coronavirus: More universities halt teaching and exams 

If your university is still not halting teaching and exa…",Andi ?,Glasgow,32,0
393,13/03/2020 22:13,"We're hiring in #Spokane, WA! Click the link in our bio to apply to this job and more: Simulation Operations Specia… https://t.co/4xor1niVjf",TMJ-WAK Jobs,"Spokane, WA",0,0
394,13/03/2020 22:12,RT @NASAhistory: Bettie L. White started working for NASA in the 70s and for over 20 years worked in a variety of jobs. They included Actin…,Zanno.lit,,24,0
395,13/03/2020 22:11,He tells these facts bluntly (which is needed) but also gives helpful advice for those who are going to pursue one… https://t.co/ODPkhzOcte,Jeremy (on Theology),"Edmonton, Alberta",0,0
396,13/03/2020 22:11,"Very proud to be part of the team delivering teaching to our students #MRI #ManchesterPharmacy 10th in world, 3rd i… https://t.co/gG8MlqH4iR",Kate Oates,,3,5
397,13/03/2020 22:11,"RT @AWS_Gov: Want to introduce voice technology into your institution? Hear from Chris Dixon, Head of IT Partnering &amp; Innovation, Lancaster…",Chen Yan,"South Lake Union, Seattle, WA",2,0
