source_name,author,title,description,publishedAt
BBC News,https://www.facebook.com/bbcnews,Plans for first US 'safe injection site' derailed again,The addiction management method used in Europe and Canada has met determined opposition in the US.,2020-02-28T02:09:51Z
Globalnews.ca,Katie Scott,‘Big Brother Canada’ Season 8: Meet the houseguests - Global News,‘Big Brother Canada’ Season 8: Meet the houseguests Global News Angela Tackie Is Looking For 'Multiple Showmances' On 'Big Brother Canada' | EXTENDED ET Canada Kamloops reporter lands a spot on Big Brother Canada CFJC Today Kamloops Kamloops 'surfer dude' mak…,2020-02-26T19:55:32Z
TechCrunch,Natasha Mascarenhas,Coursedog lands $4.2 million to make class scheduling smarter,"Two years ago, dormmates Justin Wenig and Nicholas Diao struggled to get into a popular computer science class at Columbia University. The duo eventually got into that class, but after the initial frustration around class scheduling, they decided “it was an o…",2020-03-09T18:58:46Z
Insider.com,Mikhaila Friel,Meghan Markle and Prince Harry reportedly paid a secret visit to Stanford University,"Meghan Markle and Prince Harry reportedly traveled from Canada to California on Tuesday to meet with staff at Stanford University. The duke and duchess held a ""brainstorming session"" with professors and academics to help develop their upcoming charitable foun…",2020-02-14T11:12:46Z
The Globe And Mail,,Chrystia Freeland calls for ‘whole of country’ response to prevent spread of coronavirus - The Globe and Mail,"Chrystia Freeland calls for ‘whole of country’ response to prevent spread of coronavirus The Globe and Mail Containment efforts will delay, not prevent, COVID-19 outbreak in Canada, Hajdu warns CBC.ca Global National: March 4, 2020 | How Canada is preparing f…",2020-03-05T02:07:54Z
Ctvnews.ca,Laura Osman,Canada releases coronavirus guidelines on when to cancel major events - CTV News,"Canada releases coronavirus guidelines on when to cancel major events CTV News Federal government to announce supports for people, businesses hit by COVID-19 on Wednesday CBC.ca Ottawa to release unprecedented report into foreign espionage in Canada Toronto S…",2020-03-11T02:40:04Z
The Globe And Mail,,Bank of Canada rate cut will put already hot real estate market 'on steroids' - The Globe and Mail,Bank of Canada rate cut will put already hot real estate market 'on steroids' The Globe and Mail Bank of Canada lowers overnight rate target to 1 ¼ percent Bank of Canada Bank of Canada cuts key interest rate target to 1.25 per cent CTV News Now is the worst …,2020-03-04T23:31:36Z
Globalnews.ca,Heather Yourex-West,Indigenous people in Canada facing racism over Wet’suwet’en solidarity blockade action - Global News,Indigenous people in Canada facing racism over Wet’suwet’en solidarity blockade action Global News Trudeau urges patience as Wet'suwet'en consider proposed land and title deal CBC.ca Indigenous Canadians concerned about racist backlash over Wet'suwet'en rail …,2020-03-04T02:37:40Z
Ctvnews.ca,,Tracking every case of COVID-19 in Canada - CTV News,"Tracking every case of COVID-19 in Canada CTV News How Canada's designated COVID-19 testing centres work CBC News Ontario confirms 19 new cases of coronavirus, bringing provincial total to 79 Global News What’s closed or cancelled in Toronto amid coronavirus …",2020-03-13T18:17:00Z
Lifehacker.com,Emily Price,Don't Click on Links in Texts From 'Your Bank',"If you get a text from someone claiming to be your bank, don’t click on the link. A new mobile phishing scam is texting people in the US and Canada claiming to be your bank. When you click on the included link, you’ll be taken to a website that may look like …",2020-02-17T17:56:00Z
The Globe And Mail,The Canadian Press,U.S. border officials find human brain in mail truck originating from Toronto - The Globe and Mail,U.S. border officials find human brain in mail truck originating from Toronto The Globe and Mail Human brain mailed from Toronto to Wisconsin seized at U.S. border CTV News Human brain found in Canada Post truck crossing into U.S. Global News U.S. border offi…,2020-02-20T13:36:03Z
The Globe And Mail,,Canadians urged to stay home to help stall spread of coronavirus - The Globe and Mail,Canadians urged to stay home to help stall spread of coronavirus The Globe and Mail Coronavirus: All publicly funded schools in Ontario closing for 2 weeks due to COVID-19 Global News Toronto Public Health urges caution on public gatherings Toronto Star 18 mo…,2020-03-13T01:49:36Z
Citynews1130.com,,U of C researchers highlight the importance of hand hygiene - CityNews Vancouver,"CALGARY (CityNews) – An open-source tool designed by University of Calgary researchers is gaining traction as a way to help remind people to wash their hands. This, as Canada reported more cases of COVID-19 on Thursday. READ MORE: WHO racing to send supplies …",2020-03-05T23:32:42Z
TechCrunch,Connie Loizos,"Eight years later, Codeacademy achieves what many coding schools do not: it’s cash-flow positive","Codeacademy, the New York-based online interactive platform that offers coding classes in a wide variety of programming languages, is a little like background noise; it’s been operating reliably since founder Zach Sims created the company while still a Columb…",2020-02-20T01:37:49Z
